emp_no,first_name,last_name,title,from_date
206995,Bernd,Nollmann,Senior Staff,1994-01-11
206999,Vivian,Colorni,Senior Staff,1995-09-10
207009,Moni,Angelov,Senior Engineer,1995-03-11
207012,Masamitsu,Goodrum,Senior Engineer,1995-11-14
207016,Lenore,Mondadori,Senior Engineer,1986-11-16
207025,Barry,Hanratty,Engineer,1999-08-22
207050,Navin,Khasidashvili,Senior Engineer,1996-03-24
207056,Volkmar,Lorcy,Technique Leader,1989-10-26
207078,Idoia,Highland,Senior Engineer,1995-05-11
207087,Pranjal,Codenie,Senior Engineer,1991-09-18
207090,Stein,Uhrig,Senior Staff,1994-01-25
207092,Hein,Schwabacher,Senior Staff,1991-04-25
207095,Jiann,Hashii,Senior Engineer,1992-05-28
207118,Lijia,Siochi,Senior Engineer,1992-11-22
207148,Zhiguo,Ullian,Senior Engineer,1995-09-06
207154,Almudena,Wendorf,Staff,1996-12-06
207162,Yucai,Kruskal,Senior Staff,1988-10-18
207167,Mohd,Genin,Staff,1997-06-08
207178,Masasuke,Muniz,Senior Engineer,1995-05-14
207190,Dinkar,Mitzlaff,Senior Engineer,1997-11-06
207198,Shahaf,Heystek,Senior Engineer,1994-08-09
207208,Susanne,Shackel,Senior Engineer,2002-01-26
207223,Garnet,Marshall,Engineer,1995-07-14
207263,Ult,Czaja,Senior Staff,1994-02-25
207276,Ramalingam,Oaver,Assistant Engineer,1998-06-04
207279,Hugo,Zultner,Senior Staff,1999-10-31
207291,Van,Cronan,Senior Staff,1996-03-27
207295,Aiichiro,Motley,Assistant Engineer,1998-01-19
207311,Houman,Pietracaprina,Senior Staff,1993-11-30
207317,Francoise,Naudin,Senior Staff,1994-06-12
207323,Uli,Pehl,Senior Engineer,1988-08-11
207370,Morrie,Edelhoff,Senior Engineer,1993-07-12
207381,Shridhar,Cooman,Senior Engineer,1993-09-26
207383,Utz,Coullard,Senior Engineer,1993-11-06
207392,Piyawadee,Denna,Senior Staff,1995-08-30
207416,Gaurav,Kuhnemann,Senior Staff,1994-07-20
207426,Mats,Panangaden,Assistant Engineer,1998-10-23
207434,Huan,Sevcikova,Senior Engineer,1997-04-20
207439,Zongyan,Pouyioutas,Senior Engineer,1992-07-11
207448,Kristof,Dredge,Senior Staff,1993-08-21
207454,Moon,Radivojevic,Senior Engineer,1994-06-01
207455,Hyuckchul,Kisuki,Engineer,1996-07-12
207460,Sadok,Oskamp,Senior Staff,1993-08-04
207486,Vatsa,Badache,Senior Staff,1995-02-25
207489,Collette,Irland,Senior Engineer,1986-04-12
207512,Valeska,Basagni,Senior Staff,1999-05-15
207514,Malu,Haumacher,Staff,1995-08-19
207515,Danny,Puppo,Senior Engineer,1996-12-17
207518,Jeanna,Reinhart,Senior Staff,2001-07-31
207523,Chaosheng,Picaronny,Senior Engineer,1994-04-14
207532,Lidong,Jeansoulin,Senior Staff,2000-01-25
207539,Dzung,Lalonde,Senior Engineer,1991-11-01
207549,Youssef,Mattern,Technique Leader,1988-09-28
207558,Rance,Itschner,Senior Staff,1990-12-05
207580,Parto,Harbusch,Staff,1995-11-21
207584,Basant,Schlumberger,Senior Engineer,1987-05-24
207585,Limsoon,Picel,Senior Engineer,1997-05-08
207587,Irena,Kitai,Senior Staff,1994-11-25
207590,Dipankar,Ferriere,Senior Engineer,1999-11-30
207597,Murthy,Kusakari,Senior Engineer,1998-04-25
207614,Nadjib,Ozeri,Senior Engineer,1986-01-21
207658,Kiyokazu,Whitcomb,Senior Engineer,1988-07-26
207661,Hairong,Leslie,Senior Staff,1986-05-15
207662,Mori,Narahari,Senior Engineer,2000-03-28
207676,Yuqun,Casley,Senior Engineer,1999-10-14
207679,Vasilis,Rosti,Senior Staff,2001-04-11
207683,Gilbert,Luft,Senior Staff,1993-03-01
207685,Christoph,Peltason,Senior Staff,1997-05-26
207688,Juichirou,Marshall,Senior Engineer,1993-02-22
207691,Genevieve,Pena,Senior Engineer,1997-01-23
207701,Yuping,Lodder,Senior Engineer,1995-10-23
207711,Ayonca,Bratsberg,Senior Staff,1990-02-12
207733,Koichi,Hooghiemstra,Senior Engineer,1995-03-01
207734,Kensei,Strooper,Senior Staff,2000-01-29
207746,LiMin,Etalle,Senior Engineer,1997-06-10
207760,Hidde,Atchley,Staff,1993-11-14
207761,Vatsa,Beeson,Senior Engineer,1988-11-25
207762,Pohua,Bodoff,Senior Engineer,1990-05-31
207769,Salvador,Marwedel,Senior Staff,1986-03-08
207774,KayLiang,Trachtenberg,Senior Staff,2002-01-06
207780,Dinah,Schade,Engineer,1998-11-05
207784,Lillian,Pardalos,Senior Engineer,1996-08-13
207792,Shir,Himler,Senior Engineer,1985-04-10
207793,Magdalena,Passafiume,Senior Engineer,2002-07-07
207798,Munir,Gyorkos,Senior Staff,1996-06-28
207800,Arumugam,Chandrasekhar,Senior Engineer,1994-12-09
207801,Navid,Plumb,Senior Staff,1986-11-11
207808,Alper,Peyn,Technique Leader,1989-01-02
207820,Caolyn,Buescher,Senior Engineer,1993-06-21
207827,Remco,Tasistro,Senior Staff,1995-05-30
207840,Danel,Zuberek,Senior Engineer,1994-09-01
207854,Kazuhito,Assaf,Senior Staff,1994-06-28
207856,Adit,Terkki,Senior Staff,1990-02-27
207860,Maja,Rodite,Senior Engineer,1997-05-23
207861,Idoia,Picht,Staff,1994-08-14
207864,Mingzeng,Steinauer,Senior Staff,1994-05-18
207877,Kazunori,Bresenham,Technique Leader,1986-05-22
207905,Manibrata,Orsini,Senior Engineer,1996-01-28
207914,Dung,Broder,Technique Leader,1985-05-17
207941,Florian,Emmerich,Senior Staff,2001-02-02
207945,Arlette,Herber,Engineer,1998-04-30
207947,Basil,Lamma,Senior Staff,1993-01-17
207960,Aron,Uludag,Staff,1999-02-01
207976,Gritta,Champarnaud,Senior Staff,1995-05-31
207987,Caolyn,Bondorf,Senior Engineer,1992-01-16
207988,Gianluca,Chenney,Senior Engineer,1988-05-22
208018,Shahar,Plump,Senior Engineer,1986-12-30
208020,Adil,Boudaillier,Senior Engineer,1993-06-30
208031,Ingemar,Hertweck,Senior Engineer,2000-03-18
208035,Marco,Asser,Technique Leader,1995-08-15
208040,Mabo,Kadhim,Senior Engineer,2000-08-13
208053,Marc,Zongker,Senior Engineer,1996-09-23
208073,Kerryn,Yurek,Senior Engineer,1999-09-15
208082,Giap,Ozeki,Senior Staff,1988-03-13
208086,Utpal,Barinka,Senior Engineer,2001-05-06
208087,Xianlong,Lueh,Senior Staff,1992-06-22
208093,Olivera,Leslie,Senior Engineer,1995-05-04
208107,Bikash,Fargier,Senior Staff,1987-02-08
208111,Volkmar,Rathonyi,Senior Staff,1994-05-21
208114,Kazunori,Denny,Senior Staff,1994-02-26
208118,Noritoshi,Baek,Senior Engineer,1991-11-17
208119,Danny,Azulay,Senior Staff,1999-04-08
208134,Sangeeta,Crabtree,Senior Engineer,1990-09-10
208171,Martial,Demke,Senior Engineer,1986-12-23
208190,Marsja,Azuma,Senior Engineer,1992-11-30
208200,Fabrizio,Linares,Senior Engineer,1986-08-25
208209,Kersti,Matzat,Staff,1996-12-25
208212,Bangqing,Lagarias,Senior Staff,1993-10-21
208213,Hidde,Brookner,Senior Engineer,1988-05-10
208218,Masaru,Morrey,Engineer,1998-05-06
208220,Shigehito,Beidas,Senior Engineer,2000-05-31
208227,Bodo,Merro,Senior Staff,2001-10-28
208244,Richara,Crelier,Senior Engineer,1990-11-03
208249,Yuchang,Esposito,Senior Engineer,1993-04-25
208256,Hugh,Mungall,Senior Engineer,2002-06-24
208258,Nathalie,Remmers,Engineer,1995-08-13
208269,Yuguang,Sury,Senior Staff,1993-12-27
208293,Siddarth,Merks,Senior Engineer,1992-11-17
208346,Dharmaraja,Lorho,Senior Engineer,1994-05-27
208354,Siamak,Boguraev,Senior Staff,1998-08-02
208358,Keung,Pokrovskii,Senior Staff,1998-08-21
208407,Arto,Kirkerud,Senior Staff,1994-04-10
208413,Takahira,Pena,Senior Staff,1992-06-11
208417,Mani,Ponthieu,Senior Staff,1993-04-18
208433,Jaewon,Serre,Technique Leader,1986-01-19
208435,Arfst,Toyoshima,Senior Staff,1986-05-08
208436,Adhemar,Denny,Senior Staff,1987-08-26
208456,Stabislas,Herbst,Senior Staff,1992-04-05
208457,Pohua,Yoshimura,Senior Staff,1986-05-22
208463,Ipke,Pillow,Senior Staff,1993-07-10
208473,Toshimitsu,Msuda,Senior Engineer,1994-04-26
208479,Teiji,Chinal,Staff,1997-08-19
208482,Vasilii,Schwartzburd,Senior Engineer,1998-12-05
208486,Chenye,Iwayama,Staff,1994-01-06
208490,Masasuke,Schicker,Senior Engineer,1988-04-23
208494,Sumali,Pellegrinelli,Technique Leader,1986-10-08
208498,Avishai,Rosin,Engineer,1996-06-27
208500,Boaz,Yurek,Senior Staff,1995-01-07
208501,Clyde,Chiodo,Senior Staff,1999-12-20
208511,Shai,Valtorta,Senior Engineer,1997-01-30
208525,Adam,DiGiano,Senior Staff,1996-06-11
208528,Sukumar,Polupanov,Senior Staff,1988-07-09
208531,Dmitry,Peyn,Senior Staff,1996-09-23
208545,Chandrasekaran,Validov,Senior Engineer,1992-08-08
208546,Piyush,Garnier,Senior Staff,1993-09-07
208557,Zhenhua,Servieres,Engineer,1996-10-08
208576,Alper,Rodham,Senior Engineer,1993-01-08
208583,Utpal,Lorho,Senior Engineer,1985-08-25
208586,Remko,Czap,Senior Engineer,1988-05-27
208589,Sarita,Busillo,Senior Engineer,1992-04-16
208604,Rafail,Gulik,Senior Engineer,1997-06-29
208617,Nahla,Onuegbe,Senior Engineer,1993-03-11
208619,Gererd,Danlos,Senior Engineer,1990-07-11
208631,Amstein,Schlumberger,Senior Engineer,2001-04-05
208638,Khatoun,Zobel,Staff,1998-12-23
208655,Yannik,Rodham,Senior Engineer,1994-12-02
208659,Kristinn,Ventosa,Senior Engineer,1985-07-21
208684,Kristin,Brizzi,Senior Engineer,1999-09-27
208685,Lokesh,Morris,Engineer,1999-04-12
208686,Gadiel,Farrag,Senior Staff,1994-05-15
208688,Rosita,Peac,Senior Engineer,1986-02-21
208689,Hideo,Barvinok,Senior Staff,1986-06-16
208692,Yoshinari,Brlek,Senior Staff,1990-03-16
208694,Padma,Famili,Senior Staff,1990-09-17
208699,Sachio,Isaak,Senior Staff,1995-07-02
208710,Faiza,Schmezko,Senior Engineer,1985-03-30
208724,Yongdong,Schnelling,Technique Leader,1987-01-01
208725,Gilbert,Baig,Senior Staff,1999-12-04
208726,Mary,Barinka,Senior Engineer,1988-04-01
208735,Niranjan,Narlikar,Senior Staff,1986-06-26
208740,Gonzalo,Giveon,Senior Staff,1992-05-16
208742,Heather,Ruther,Staff,1998-01-26
208746,Hatsukazu,Schaaf,Staff,1998-05-23
208750,Leif,Thummel,Staff,1996-06-09
208762,Chikara,Zwicker,Senior Engineer,1996-12-11
208766,Masadi,Ashish,Senior Staff,1999-06-28
208771,Nidapan,Bellmore,Senior Engineer,1998-08-21
208775,Kiyotoshi,Underwood,Senior Engineer,1992-04-29
208795,Ayakannu,Pargas,Senior Staff,1995-04-05
208807,Zita,Shobatake,Senior Engineer,2000-05-03
208826,Rance,Speckmann,Senior Staff,1986-10-06
208833,Bojan,Remmele,Senior Engineer,1996-01-21
208842,Kien,Jansch,Senior Staff,1985-04-09
208847,Shim,Demizu,Technique Leader,1999-08-18
208865,Nirmal,Taubenfeld,Senior Engineer,1985-03-01
208875,Syozo,Garnham,Senior Engineer,1995-05-01
208877,Yinghua,Shihab,Senior Engineer,1998-10-27
208878,Vitali,Tetzlaff,Senior Engineer,1986-11-23
208883,Herb,Munos,Engineer,1995-05-11
208886,Huan,Isaac,Senior Staff,1995-12-09
208888,Radhika,Heuter,Engineer,1994-01-25
208894,Peer,Murtafg,Senior Engineer,1992-03-14
208898,Ebru,Homond,Engineer,1997-06-22
208900,Jayson,Frezza,Senior Staff,1995-09-05
208902,Shigeaki,Thummel,Senior Staff,1987-04-30
208904,Bojan,Emden,Senior Engineer,1987-05-17
208905,Chenye,Ramsey,Senior Staff,1990-06-22
208908,Girolamo,Uludag,Senior Engineer,1996-01-26
208940,Hideo,Comte,Senior Engineer,1989-10-05
208947,Danil,Hockney,Senior Engineer,1999-12-13
208956,Kwok,Plump,Senior Staff,1993-10-17
208969,Susuma,Beetstra,Staff,1999-08-06
208972,Phuoc,Marwedel,Senior Staff,2000-04-24
208975,Giordano,Honglei,Senior Engineer,1986-01-11
208978,Shaowei,Provine,Senior Staff,1995-03-03
208979,Candida,Werthner,Technique Leader,1986-06-28
208980,Wanqing,Baak,Senior Engineer,1990-09-21
208982,Rutger,Sinitsyn,Senior Engineer,1997-11-17
208994,Haldon,Fujisaki,Senior Staff,2001-04-10
209005,Kazunori,Iivonen,Engineer,1999-09-12
209008,Lidong,Ranft,Senior Staff,1986-09-24
209026,Szabolcs,Maksimenko,Senior Engineer,1994-07-15
209033,Patricio,Percebois,Senior Engineer,2001-07-20
209043,Seshu,Flexer,Senior Engineer,1991-07-12
209046,Ennio,Kriebel,Senior Engineer,1994-04-05
209061,Licheng,Zhang,Senior Engineer,1992-08-15
209083,Kersti,Zaiane,Senior Engineer,1995-04-26
209094,Moriyoshi,Piancastelli,Technique Leader,1995-04-04
209110,Filipe,Mullainathan,Senior Engineer,1985-10-11
209112,Nigel,Joslin,Senior Engineer,1994-02-23
209121,Greger,Ramalingam,Senior Engineer,1992-08-08
209127,Annemarie,Luon,Senior Engineer,1994-09-06
209146,Ziva,Rindone,Senior Engineer,2000-06-19
209163,Moni,Verspoor,Senior Engineer,1995-08-01
209174,Kiam,Vidal,Senior Staff,1992-09-28
209179,Kazunori,Gaughan,Senior Engineer,2001-11-28
209181,Basil,Strandh,Senior Engineer,1990-11-19
209183,Susanne,Huttel,Senior Engineer,1995-11-11
209187,Shigeaki,Usery,Senior Staff,1993-05-11
209194,Owen,Snedden,Senior Engineer,1995-04-09
209212,Bouchung,Trumbly,Engineer,1998-02-17
209215,Branimir,Janocha,Senior Engineer,1991-11-07
209218,Utz,Kopetz,Engineer,1999-12-01
209219,Mitchel,Rohrbach,Senior Engineer,1992-10-07
209222,Anyuan,Ginesta,Senior Engineer,1997-04-03
209252,Giordano,Bultermann,Senior Engineer,1992-09-15
209260,Maya,Ouhyoung,Senior Staff,1988-01-14
209279,Roddy,Bail,Senior Staff,1996-03-03
209291,Hilari,Trogemann,Senior Staff,1996-03-22
209293,Jessie,Masada,Senior Engineer,1986-03-14
209300,Ronghao,Karner,Senior Engineer,1997-11-22
209304,Marc,Stille,Senior Engineer,1996-05-03
209306,Tadahiro,Honglei,Engineer,1996-11-07
209312,Junichi,Colorni,Senior Staff,1992-04-22
209313,Naraig,Lupu,Senior Staff,1995-12-20
209316,Jaana,Kuszyk,Senior Engineer,2002-06-18
209320,Candida,Piancastelli,Senior Staff,1990-11-17
209322,Xumin,Frezza,Senior Engineer,1998-03-14
209325,Shih,Goldhammer,Senior Engineer,1994-02-15
209345,Pohua,Linares,Senior Engineer,1995-02-05
209356,Tesuro,Jansen,Senior Staff,1995-06-14
209360,Duke,Stifter,Senior Staff,2000-09-12
209364,Manibrata,Casperson,Senior Engineer,1988-10-25
209383,Elvia,Iisaku,Senior Engineer,1998-03-10
209392,Elvis,Kandlur,Senior Staff,1996-05-08
209394,Tristan,Sundgren,Staff,1994-02-11
209410,Subhash,Cronau,Senior Engineer,1985-10-13
209418,Faiza,Thimonier,Senior Engineer,1993-01-16
209419,Vugranam,Kabayashi,Staff,1999-04-10
209436,Barton,Benaini,Senior Staff,2000-12-23
209439,Gay,Hemaspaandra,Senior Staff,1996-05-16
209445,Zhiwei,Deville,Senior Staff,1997-01-24
209463,Arun,Masand,Senior Staff,1995-01-25
209478,Kasidit,Nitta,Senior Staff,1991-08-09
209502,Holgard,Sudbeck,Senior Staff,1995-02-05
209539,Aloys,Erde,Senior Engineer,1997-07-20
209543,Heng,Porenta,Senior Engineer,1993-08-09
209544,Fumiya,Kobuchi,Senior Engineer,1990-07-09
209575,Zita,Kambil,Senior Engineer,1996-03-28
209577,Shaz,Viele,Staff,1998-04-03
209589,Genki,Baumann,Senior Staff,1991-02-13
209602,Stamatina,Foong,Senior Staff,1994-07-17
209610,Deniz,Rouquie,Senior Engineer,1996-06-15
209617,Sarita,Lund,Senior Staff,1998-02-20
209622,Radoslaw,Luit,Senior Engineer,1994-10-09
209654,Aksel,Stiles,Senior Staff,1999-07-07
209656,Ger,Oehlmann,Senior Staff,1990-10-15
209657,Narain,Lunn,Technique Leader,1987-09-16
209670,Lubomir,Sewelson,Senior Staff,1991-10-23
209674,Krassimir,Kroft,Senior Engineer,1994-09-10
209703,Wuxu,Meszaros,Senior Engineer,1992-07-13
209713,Nahla,Heping,Senior Engineer,1992-07-01
209717,Thanasis,Mellouli,Engineer,1999-03-04
209719,Serap,DuBourdieux,Senior Engineer,1994-07-05
209721,Shaw,Heemskerk,Senior Staff,1989-01-12
209724,Xianlong,Viele,Senior Staff,1988-05-17
209751,Cristinel,Rosch,Senior Engineer,1999-01-17
209752,Amabile,Gulak,Senior Staff,1996-08-18
209771,Vitali,Muniz,Senior Staff,1999-08-08
209773,Jaques,Vendrig,Senior Engineer,1997-07-25
209777,Ravishankar,Condotta,Engineer,1999-01-21
209778,Przemyslawa,Walstra,Senior Staff,1988-11-25
209791,Mabhin,Garnham,Senior Staff,1986-10-23
209792,Yoshinari,Bernick,Senior Engineer,1993-08-11
209799,Honesty,Caine,Senior Staff,1999-05-04
209808,Reinhold,Calkin,Senior Engineer,2000-03-13
209811,Gao,Turnbull,Senior Engineer,1998-12-04
209817,Arunas,Vecchi,Senior Engineer,1997-10-29
209828,Vatsa,Brender,Engineer,1997-11-18
209829,Froduald,Rosca,Staff,1997-12-27
209832,Tru,Holburn,Senior Staff,1993-03-04
209834,Nitsan,Alvarado,Senior Engineer,1994-01-22
209860,Perla,Engberts,Technique Leader,1998-02-12
209872,Breannda,Kaiser,Senior Staff,1995-12-16
209877,Kristian,Dredge,Senior Staff,1988-04-04
209890,Ronghao,Radivojevic,Staff,1997-03-25
209899,Lucien,Nicolson,Senior Engineer,1996-10-26
209906,Joydip,Fadgyas,Senior Staff,1992-09-03
209915,Lillian,Pashtan,Senior Engineer,1993-10-17
209937,Erez,Bage,Senior Engineer,1996-02-25
209949,Wanqing,Kornyak,Senior Staff,1989-07-30
209959,Zongyan,Markovitch,Engineer,1998-03-07
209997,Nevin,Servi,Senior Engineer,2000-05-13
210010,Youssef,Linnainmaa,Engineer,1996-11-03
210033,Chanjung,Ghandeharizadeh,Senior Engineer,1995-04-17
210042,Alejandra,Hitomi,Senior Staff,2001-07-18
210044,Ymte,Bergere,Senior Staff,1992-10-18
210067,Mark,Bresenham,Technique Leader,1998-03-27
210075,Kazuhiko,Pellegrinelli,Senior Engineer,1993-02-09
210079,Junsik,Gustavson,Technique Leader,1990-09-15
210080,Premal,Perl,Staff,1997-09-21
210090,Shigeu,Ladret,Senior Staff,1993-05-20
210096,Herbert,Karner,Technique Leader,1985-12-07
210097,Hercules,Bernatsky,Senior Engineer,1985-11-27
210098,Mingzeng,Milicic,Staff,1999-11-08
210110,Falguni,Jullig,Senior Engineer,1994-11-06
210114,Phillip,Snedden,Senior Engineer,2000-07-10
210116,Marlo,Bolsens,Senior Engineer,1995-02-04
210126,Goa,Hartvigsen,Senior Engineer,1996-05-29
210128,Olivera,Dayana,Senior Staff,1992-08-18
210129,Aamer,Frijda,Senior Engineer,1995-11-06
210135,Karsten,Poulakidas,Senior Engineer,1993-11-17
210153,Unal,Lanteri,Senior Staff,1997-09-24
210154,Kristine,Salverda,Senior Staff,1990-03-07
210155,Eirik,Koblitz,Senior Staff,1995-04-12
210160,Byong,Trelles,Senior Engineer,1993-09-10
210169,Georgi,Schaaf,Senior Engineer,1994-07-01
210180,Jianhua,Vural,Engineer,2000-05-30
210181,Kasturi,Janocha,Senior Engineer,1991-11-03
210182,Patricio,Junet,Senior Staff,2001-01-05
210187,Randi,Rosaz,Senior Engineer,1989-04-17
210194,Sanjit,Flowers,Senior Engineer,1992-09-20
210205,Richard,Cronan,Senior Staff,1998-08-06
210206,Bikash,Munck,Senior Staff,1992-06-01
210212,Jongsuk,Vitiello,Senior Staff,1992-05-27
210216,Fumitake,Feldmann,Senior Engineer,1991-12-16
210219,Serif,Encarnacion,Senior Staff,1994-03-31
210230,Chikako,Bage,Engineer,1998-11-12
210233,Qunsheng,Gornas,Senior Staff,1985-06-13
210245,Alenka,Mungall,Senior Engineer,1992-05-20
210246,Pradeep,Gecsei,Engineer,1998-08-05
210247,Giao,Sewelson,Engineer,1994-01-04
210251,Fay,Frezza,Senior Engineer,1997-10-26
210252,Mohammed,Rissanen,Senior Engineer,1995-03-19
210253,Jixiang,Scallan,Senior Engineer,1990-10-05
210277,Yoshimitsu,Carrere,Senior Engineer,1993-11-05
210281,Slavian,Poupard,Senior Engineer,1995-07-21
210284,Vasilis,Kavvadias,Senior Engineer,1995-08-28
210287,Shushma,Krohm,Engineer,1994-12-03
210288,Oscar,DasSarma,Senior Staff,1995-04-30
210289,Roddy,Benantar,Engineer,1995-03-25
210291,Tze,Stenning,Senior Engineer,1998-10-05
210301,Karoline,Suri,Senior Staff,1995-02-14
210302,Arun,Norsworthy,Senior Staff,1994-01-01
210315,Zhanqiu,Sabnani,Senior Engineer,1994-09-28
210319,Mechthild,Roohalamini,Senior Staff,1996-05-18
210321,Izaskun,Picco,Senior Engineer,1997-03-17
210323,Heng,Gluchowski,Senior Engineer,1987-11-05
210330,Bernardo,Andreotta,Senior Engineer,1995-01-02
210332,Golgen,Beerel,Staff,1995-02-28
210336,Noritoshi,Pero,Engineer,1999-02-16
210337,Utz,Rosch,Senior Staff,1996-10-03
210341,Tesuro,Ranon,Senior Staff,1993-05-05
210368,Jianhao,Peres,Engineer,1996-07-05
210374,Yuriy,Angot,Senior Engineer,1995-08-25
210386,Chinho,Gustavson,Senior Engineer,1987-10-15
210387,Elvia,Heuter,Senior Engineer,1991-07-02
210411,Lucian,Janetzko,Senior Engineer,1992-02-20
210413,Idoia,Uehara,Senior Staff,1990-03-01
210418,Alejandro,Krogh,Senior Engineer,1986-11-25
210431,Giao,Diderrich,Senior Staff,1988-03-03
210434,Subhada,Swist,Senior Engineer,1994-06-17
210437,Aleksandar,Pettis,Senior Staff,1995-11-14
210450,Vitaly,Perfilyeva,Senior Engineer,1991-07-17
210473,Aram,Terlouw,Engineer,1996-02-16
210477,DeForest,Keirsey,Senior Engineer,1992-11-09
210478,Kwangsub,Mitina,Senior Engineer,1991-04-09
210480,Aloys,Brendel,Engineer,1998-07-21
210482,Chenye,Perfilyeva,Senior Engineer,1988-01-18
210484,Masasuke,Gihr,Senior Engineer,1997-12-05
210485,Mitchel,Codenie,Senior Staff,1994-03-12
210493,Arie,Lieblein,Senior Engineer,1992-12-04
210504,Xuedong,Falck,Senior Staff,1997-04-03
210509,Shichao,Braunschweig,Senior Staff,2002-03-28
210513,Shen,Heystek,Engineer,1998-11-27
210523,Taisook,Sabnani,Senior Engineer,1990-02-18
210543,Zhensheng,Terwilliger,Senior Staff,1994-08-11
210545,Vincent,Waymire,Senior Staff,1993-07-27
210554,Piyawadee,Beidas,Senior Staff,1999-08-24
210558,Bokyung,Sigstam,Senior Staff,1990-08-01
210563,Remco,Nastansky,Staff,1995-12-22
210568,Geraldo,Ertl,Staff,1996-12-12
210571,Hirochika,Peot,Senior Staff,1995-08-25
210575,Oscar,Lung,Senior Staff,1995-11-05
210580,Yahiko,Maliniak,Senior Staff,1987-01-03
210590,Uli,Plavsic,Senior Engineer,1992-09-07
210611,Soenke,Lupu,Senior Engineer,1995-12-28
210618,Shunichi,Wolniewicz,Staff,1997-01-19
210620,Anyuan,Bierman,Staff,1996-01-13
210624,Poornachandra,Aloia,Senior Engineer,1993-01-11
210638,Xianlong,Bach,Engineer,1995-02-02
210644,Hsiangchu,Panangaden,Senior Staff,1993-05-02
210651,Toney,Eiron,Senior Staff,1993-12-10
210655,Naftaly,Gyorkos,Senior Engineer,1988-04-15
210664,Reinhard,Garrabrants,Senior Engineer,1987-07-26
210665,Billur,Hutton,Senior Engineer,1993-02-12
210669,Kersti,Borovoy,Senior Staff,1994-06-16
210671,Serap,Tsukuda,Senior Staff,2002-04-28
210677,Gor,Oehlmann,Senior Staff,1994-01-19
210678,Subbu,Asmuth,Senior Engineer,1995-11-18
210682,Bernardo,Jonsson,Senior Engineer,1991-07-05
210685,Isamu,Christ,Senior Engineer,1997-04-01
210702,Carrsten,Jeong,Technique Leader,1988-07-22
210710,Nevio,Farrar,Senior Staff,1996-01-20
210718,Nikolaos,Kalafatis,Senior Engineer,1989-03-22
210721,Ayonca,Oppitz,Staff,1999-04-03
210723,Aria,Saoudi,Senior Staff,1991-05-27
210731,Renee,Benantar,Senior Staff,1999-12-18
210747,Doohun,Bratten,Senior Staff,1998-01-01
210751,Sanjeeva,Syrotiuk,Senior Staff,1994-03-14
210758,Parviz,Chinen,Senior Engineer,1992-09-18
210764,Eberhardt,Fujisaki,Senior Staff,1993-04-15
210765,Yuguang,Leppanen,Staff,1998-11-21
210772,Kotesh,Penttonen,Engineer,1998-05-16
210778,Kaijung,Tyugu,Senior Engineer,1988-12-08
210781,Yongdong,Shigei,Staff,1998-05-12
210787,Subhada,Setiz,Technique Leader,1988-07-04
210802,Christoph,Perz,Senior Staff,1991-12-05
210821,Jayesh,Piancastelli,Senior Engineer,1987-03-29
210837,Sailaja,Varman,Senior Staff,1987-04-15
210842,Demin,Iwayama,Senior Engineer,1997-02-16
210876,Wayne,Yamaashi,Senior Staff,1995-11-21
210888,Hidekazu,Argence,Senior Staff,2000-11-04
210889,Kiyokazu,Schmittgen,Senior Staff,1995-12-10
210891,Mahmut,Ranze,Senior Engineer,1993-09-23
210897,Turgut,Snyers,Senior Staff,1994-08-31
210911,Taisook,Diderrich,Senior Engineer,1996-02-09
210915,Mong,Velasco,Senior Engineer,1994-12-25
210931,Fumitake,Slutz,Senior Staff,1999-06-12
210935,JoAnna,Prochazka,Senior Engineer,1985-10-13
210940,Pasqua,Akaboshi,Senior Staff,1993-11-06
210975,Erzsebet,Marzano,Senior Engineer,1992-07-17
210976,Khue,Kinley,Senior Staff,1988-08-01
210984,Toshiki,Angel,Senior Engineer,1986-09-13
210985,Reinhard,Bauknecht,Senior Staff,1994-08-02
211008,Ziva,Vecchi,Staff,1998-02-20
211009,Unal,Barriga,Senior Staff,1993-10-10
211040,Jaihie,Nitsch,Senior Staff,1995-04-08
211042,Hidekazu,Ertl,Senior Engineer,1993-09-18
211047,Fayez,Plotkin,Senior Engineer,1992-12-18
211063,Rafols,Mahmud,Senior Staff,1993-06-12
211098,Thanasis,Benaini,Technique Leader,1998-08-08
211109,Shaunak,Manderick,Senior Engineer,1995-01-01
211133,Oscal,Ozery,Senior Engineer,1996-09-08
211148,Valeri,Khamsi,Senior Engineer,1990-12-26
211151,Gaetan,Hertweck,Engineer,1998-03-24
211157,Deniz,Levasseur,Senior Engineer,1996-08-06
211163,Ranga,Joslin,Senior Staff,1990-04-16
211170,Sakthirel,Tiemann,Senior Staff,1998-11-09
211193,Yannis,Schapiro,Senior Engineer,1997-11-21
211208,Radhia,Erie,Senior Engineer,1986-10-26
211214,Heeju,Syang,Senior Engineer,1986-01-23
211234,Taisook,Rousseau,Senior Staff,1993-02-27
211238,Supot,Raney,Assistant Engineer,1997-08-31
211250,Paloma,Luca,Senior Engineer,1998-09-14
211280,Masato,Rothenberg,Senior Staff,1987-09-06
211291,Pohua,Munoz,Senior Staff,1986-11-04
211293,Malu,Champarnaud,Senior Engineer,1985-05-20
211299,Jaber,Molberg,Senior Engineer,1991-04-22
211301,Khalid,Aingworth,Senior Engineer,1985-10-13
