emp_no,first_name,last_name,title,from_date,to_date
98445,Spyrose,Constantine,Senior Engineer,2002-07-27,1995-07-27
98500,Sarita,Bennet,Senior Staff,1994-09-05,1994-09-05
98506,Oddvar,Gyorkos,Senior Staff,2000-10-23,2000-10-23
98533,Tsvetan,Detkin,Senior Engineer,1990-04-19,9999-01-01
98594,Eldridge,Kruskal,Engineer,2000-01-25,9999-01-01
98619,Sham,Debuse,Senior Engineer,1996-09-02,1996-09-02
98663,Serenella,Segond,Senior Staff,1995-10-21,9999-01-01
98683,Charmane,Lodder,Senior Engineer,2000-11-20,2000-11-20
98713,Stabislas,Luit,Senior Staff,1986-02-23,9999-01-01
98745,Zhanqiu,Kitsuregawa,Senior Engineer,1985-10-24,9999-01-01
98750,Shooichi,Braccini,Senior Engineer,1994-12-30,1994-12-30
98793,Stevo,Merey,Staff,1996-05-20,9999-01-01
98823,Tesuya,Hartvigsen,Senior Staff,1997-08-06,1997-08-06
98832,Margo,Akiyama,Senior Staff,1991-02-10,1991-02-10
98861,George,Bellmore,Senior Staff,1991-06-20,1991-06-20
98905,Nikolaos,Negoita,Senior Engineer,1985-09-13,9999-01-01
98973,Aemilian,Quittner,Senior Engineer,1991-01-05,1991-01-05
98992,Gonzalo,Heping,Senior Engineer,1994-08-16,1994-08-16
98996,Parke,Kalloufi,Staff,1998-06-25,9999-01-01
99064,Marin,Trogemann,Senior Staff,2000-09-28,2000-09-28
99210,Irene,Morrin,Senior Engineer,1991-05-19,1991-05-19
99274,Taizo,Schurmann,Senior Engineer,1985-06-14,9999-01-01
99297,Xinan,Erman,Senior Engineer,2001-06-26,2001-06-26
99307,Moto,Thibadeau,Senior Staff,1995-08-23,1995-08-23
99340,Masaru,Selvestrel,Senior Staff,1987-06-15,9999-01-01
99376,Olivera,Blokdijk,Senior Engineer,1988-02-15,9999-01-01
99390,Cristinel,Potthoff,Senior Engineer,2000-03-17,2000-03-17
99431,Prodip,Kusalik,Senior Staff,1990-09-02,9999-01-01
99442,Sibyl,Uhrig,Senior Staff,1996-07-11,1996-07-11
99492,Rosine,Gajiwala,Senior Staff,1998-07-24,1998-07-24
99520,Eran,Copas,Senior Engineer,2000-02-02,2000-02-02
99527,Feipei,Duclos,Engineer,1994-08-12,9999-01-01
99606,Kamran,Flowers,Senior Staff,1993-12-30,1993-12-30
99622,Etsuo,Taneja,Senior Engineer,1992-05-18,1992-05-18
99655,Elvis,Borovoy,Senior Engineer,2001-04-03,2001-04-03
99671,Tsuneo,Leppanen,Senior Staff,1985-06-10,9999-01-01
99688,Christophe,Noriega,Senior Staff,1993-03-01,1993-03-01
99705,Souichi,Bahr,Senior Staff,1993-09-27,1993-09-27
99794,Kristin,Garnick,Senior Engineer,1995-03-15,1995-03-15
99880,Herbert,Conti,Senior Staff,1996-08-19,1996-08-19
99890,Aemilian,Decleir,Senior Staff,1994-11-18,1994-11-18
99927,Bernardo,Luck,Senior Engineer,1994-03-11,1994-03-11
99966,Masali,Ferretti,Staff,1997-09-26,9999-01-01
100013,Gunilla,Bernardinello,Senior Engineer,1992-04-09,1992-04-09
100022,Iara,Lindenbaum,Senior Staff,1990-02-04,1990-02-04
100042,Raimond,Turnbull,Staff,2000-01-11,9999-01-01
100115,Siddarth,Servieres,Senior Staff,1992-10-20,1992-10-20
100118,Sajjad,Goldhammer,Technique Leader,1999-10-28,9999-01-01
100180,Ohad,Lichtner,Senior Engineer,1995-06-16,1995-06-16
100277,Ravishankar,Baby,Senior Engineer,1996-08-16,1996-08-16
100322,Janalee,Bahr,Senior Staff,1985-03-21,9999-01-01
100359,Vishwani,Speer,Senior Engineer,1987-03-27,9999-01-01
100382,Mariangiola,Wynblatt,Senior Engineer,1997-05-25,1997-05-25
100384,Richara,Yurek,Senior Engineer,1995-06-03,1995-06-03
100413,Mara,Schurmann,Senior Engineer,1999-06-10,1999-06-10
100419,Jaana,Leivant,Senior Staff,1997-01-09,1997-01-09
100444,Arno,Itzigehl,Senior Staff,1985-05-15,9999-01-01
100452,Guther,Lowrie,Senior Engineer,2001-07-17,2001-07-17
100497,Tze,Fortenbacher,Senior Engineer,1993-04-06,1993-04-06
100531,Toshiko,Kranzdorf,Senior Engineer,1999-02-06,9999-01-01
100534,Aamer,Luga,Staff,1996-04-08,9999-01-01
100569,Sreekrishna,Anandan,Senior Engineer,1991-10-25,1991-10-25
100574,Lucien,Bennet,Senior Staff,2002-02-14,2002-02-14
100609,Gina,Lakshmanan,Senior Engineer,1999-09-26,1999-09-26
100653,Georgi,Maraist,Senior Engineer,1997-10-27,1997-10-27
100656,Persi,Teitelbaum,Engineer,1996-11-10,9999-01-01
100680,Xiping,Duclos,Senior Staff,1996-03-28,9999-01-01
100721,Poornachandra,Bade,Senior Engineer,2000-09-15,2000-09-15
100748,Uriel,Marakhovsky,Senior Staff,1986-12-10,9999-01-01
100753,Zsolt,Baca,Senior Engineer,1993-09-13,1993-09-13
100769,Willard,Clemencon,Senior Engineer,1990-04-29,9999-01-01
100842,Dante,Brobst,Senior Engineer,1993-01-01,9999-01-01
100880,Chikara,Thibadeau,Senior Staff,1994-01-11,1994-01-11
100933,Uli,Taneja,Senior Staff,1993-03-27,1993-03-27
100934,Goncalo,Czaja,Engineer,1997-01-15,9999-01-01
100965,Lucian,Bultermann,Senior Staff,1995-05-04,1995-05-04
101000,Vishv,Marrevee,Senior Staff,1995-07-14,1995-07-14
101015,Spyrose,Rahier,Senior Staff,1999-04-27,1999-04-27
101018,Shigeu,Serra,Senior Engineer,1993-06-16,9999-01-01
101033,Zhiwei,Clemencon,Senior Staff,1985-02-13,9999-01-01
101034,Elgin,Tyugu,Senior Engineer,1991-04-14,1991-04-14
101067,Kerhong,Schmittgen,Assistant Engineer,1998-10-12,9999-01-01
101078,Fusako,Zedlitz,Senior Engineer,1985-02-05,9999-01-01
101096,Make,Zaccaria,Senior Engineer,1995-07-04,9999-01-01
101193,Fen,Rabejac,Senior Engineer,1993-11-06,1993-11-06
101270,Tsutomu,Nitto,Senior Staff,2000-08-22,2000-08-22
101294,Sakthirel,Speel,Senior Engineer,1994-03-31,1994-03-31
101385,Maia,Vickson,Technique Leader,1999-06-27,9999-01-01
101412,Nathan,Baaleh,Senior Staff,1988-06-10,9999-01-01
101501,Rosalie,Vecchi,Technique Leader,1985-12-26,9999-01-01
101537,Luigi,Cyre,Senior Engineer,1985-09-28,9999-01-01
101558,Wojceich,Tischendorf,Senior Engineer,1985-02-24,9999-01-01
101608,Girolamo,Mundy,Senior Staff,1998-08-31,1998-08-31
101637,Subir,Azuma,Staff,1995-03-30,9999-01-01
101638,Gaurav,Conta,Engineer,1996-07-07,9999-01-01
101657,Krisda,Herath,Senior Staff,2000-07-13,2000-07-13
101719,Nadjib,Wolniewicz,Senior Engineer,1993-06-03,1993-06-03
101787,Shunichi,Muhling,Senior Engineer,1993-07-28,1993-07-28
101845,Giordano,Pouyioutas,Senior Staff,2002-07-19,2002-07-19
101848,Jouko,Kolinko,Senior Staff,1997-06-19,1997-06-19
101869,Zhanqiu,Siprelle,Senior Staff,1995-12-26,1995-12-26
101878,Tetsushi,Stroustrup,Senior Staff,1998-01-16,1998-01-16
101887,Zhonghua,McAlpine,Senior Engineer,1995-09-05,1995-09-05
101949,Foong,Pettis,Senior Engineer,1993-05-12,1993-05-12
102028,Yunming,Thiran,Senior Engineer,1988-10-27,9999-01-01
102257,Stella,Tsukune,Senior Engineer,1991-07-28,1991-07-28
102286,Cedric,Chachaty,Senior Staff,1993-06-08,1993-06-08
102292,Fumiyo,Peltason,Technique Leader,1987-10-28,9999-01-01
102298,Tianruo,Selenyi,Engineer,2000-01-26,9999-01-01
102336,Frazer,Schlenzig,Senior Engineer,1991-06-14,1991-06-14
102372,Maik,Jahnichen,Senior Engineer,1990-01-12,9999-01-01
102552,Danai,Delgrande,Senior Staff,1997-11-06,1997-11-06
102597,Waiman,Vidal,Senior Engineer,1997-02-06,1997-02-06
102627,Bedrich,Businaro,Senior Engineer,2001-07-03,2001-07-03
102737,Fabrizio,Mitina,Senior Engineer,1992-07-25,1992-07-25
102738,Ramya,Tchuente,Senior Staff,1995-04-13,1995-04-13
102766,Guiseppe,Dechter,Engineer,1996-05-06,1996-05-06
102815,Shunichi,Scallan,Senior Staff,1999-08-11,1999-08-11
102912,Teiji,Khalil,Senior Staff,1993-11-18,1993-11-18
102941,Luigi,Erni,Senior Engineer,1993-01-06,9999-01-01
103024,Patricio,Jakobus,Senior Engineer,1998-10-22,1998-10-22
103130,Kiyokazu,Sundgren,Senior Engineer,2001-02-21,2001-02-21
103219,Guenter,Muchinsky,Senior Engineer,1993-10-22,1993-10-22
103224,Zeljko,Seghrouchni,Senior Engineer,1987-03-27,9999-01-01
103235,Kazuhito,Acton,Senior Engineer,1994-02-01,9999-01-01
103259,Remzi,Brattka,Senior Staff,1998-06-16,9999-01-01
103338,Munir,Wilharm,Senior Staff,1993-02-24,1993-02-24
103349,Chiranjit,Saoudi,Senior Engineer,2000-11-23,2000-11-23
103358,Takushi,Legleitner,Senior Staff,1992-01-28,1992-01-28
103398,Nikolaos,Schreiter,Staff,1999-08-13,9999-01-01
103415,Heng,Cronin,Senior Staff,1998-12-22,1998-12-22
103419,Marjo,Pettit,Senior Engineer,1994-07-05,1994-07-05
103426,Shigeaki,Koshiba,Senior Engineer,1993-12-29,1993-12-29
103467,Kwangyoen,Glinert,Senior Staff,1998-01-11,1998-01-11
103538,Mountaz,Ushiama,Senior Engineer,1987-06-11,9999-01-01
103566,Fumino,Pouyioutas,Senior Engineer,1993-04-14,1993-04-14
103568,Peternela,Camarinopoulos,Technique Leader,1990-12-12,9999-01-01
103569,Rayond,Rodier,Senior Engineer,1993-02-26,1993-02-26
103573,Mani,Erman,Senior Staff,1994-12-03,1994-12-03
103586,Kwee,Veevers,Engineer,1995-04-07,1995-04-07
103591,Moni,Vakili,Senior Staff,1991-03-11,1991-03-11
103595,Zhensheng,Hutton,Senior Staff,1995-09-22,1995-09-22
103640,Valeska,Yetto,Senior Staff,2000-08-31,2000-08-31
103641,Aamer,Loncour,Engineer,1996-03-19,9999-01-01
103681,Toney,Rosiles,Senior Staff,1994-05-30,1994-05-30
103753,Faiza,Fortenbacher,Senior Staff,2000-07-27,2000-07-27
103772,Vidar,Pollacia,Senior Staff,1994-10-25,1994-10-25
103835,Masasuke,Cyre,Senior Engineer,1993-05-23,1993-05-23
103865,Eishiro,Pews,Senior Engineer,1995-05-13,1995-05-13
103876,Mohammad,Suppi,Senior Engineer,1997-08-02,1991-08-03
103918,Seshu,Jenevein,Technique Leader,1987-07-15,9999-01-01
103951,Eben,Luders,Senior Engineer,1987-10-20,9999-01-01
103988,Mary,Griswold,Senior Staff,1994-01-23,1994-01-23
104021,Yonghoan,Mondadori,Senior Engineer,1986-11-25,9999-01-01
104029,Alper,Pagter,Staff,1998-05-30,9999-01-01
104092,Abdelaziz,Vitiello,Assistant Engineer,1998-12-27,9999-01-01
104093,Cristinel,Streng,Senior Staff,1986-10-27,9999-01-01
104122,Georg,Schreiter,Senior Engineer,1994-11-21,1994-11-21
104143,Gino,Morton,Senior Engineer,1995-05-14,1995-05-14
104144,Gilbert,Staelin,Engineer,1997-08-28,9999-01-01
104160,Kotesh,Kamber,Technique Leader,1993-04-14,9999-01-01
104210,Ziyad,Schaaf,Technique Leader,1985-10-17,9999-01-01
104222,Gretta,Wursthorn,Senior Engineer,1987-09-14,9999-01-01
104363,Mansur,Xiaoshan,Senior Staff,1988-11-22,9999-01-01
104402,Gonzalo,Molenaar,Staff,1995-06-15,9999-01-01
104404,Yoshinari,Usery,Senior Staff,2000-11-17,2000-11-17
104462,Tomofumi,Randt,Senior Staff,1994-11-19,1994-11-19
104503,Poornachandra,Kalefeld,Senior Engineer,1991-01-15,1991-01-15
104504,Waiman,Kilgore,Senior Engineer,1993-06-10,1993-06-10
104508,Wilmer,Thummel,Senior Engineer,1992-09-12,1992-09-12
104517,Kazuhide,Demri,Senior Staff,1992-06-19,1992-06-19
104520,Vishv,Neimat,Senior Staff,1995-10-06,1995-10-06
104549,Chaoyi,Sabnani,Assistant Engineer,1999-02-09,9999-01-01
104557,Turgut,Kushnir,Technique Leader,1990-03-30,9999-01-01
104577,Kellyn,Ibel,Senior Staff,1991-04-18,1991-04-18
104593,Arno,Maksimenko,Senior Engineer,1996-08-06,1996-08-06
104626,Patricio,Zaiane,Senior Staff,1992-10-12,9999-01-01
104637,Basant,dAstous,Senior Staff,1994-02-03,1994-02-03
104644,Yuguang,Lieblein,Senior Engineer,1993-08-21,1993-08-21
104710,Munenori,Trogemann,Senior Staff,1996-01-12,1996-01-12
104748,Xianlong,Bennet,Senior Staff,1992-01-18,1992-01-18
104755,Tetsurou,Zschoche,Senior Engineer,1992-08-21,1992-08-21
104819,Rildo,Granlund,Senior Staff,1990-12-22,1990-12-22
104931,Kristin,Delaune,Staff,1999-12-04,9999-01-01
104939,Armond,Masamoto,Senior Engineer,1994-11-05,1994-11-05
105040,Vojin,Erbe,Senior Engineer,1988-04-02,9999-01-01
105085,Mamdouh,Bach,Senior Staff,1991-04-18,9999-01-01
105095,Steen,Leppanen,Senior Engineer,1999-01-16,1993-01-16
105100,Boguslaw,Fabrizio,Engineer,1995-03-31,9999-01-01
105226,Murthy,Menyhert,Staff,1999-08-03,9999-01-01
105239,Bartek,Perl,Senior Staff,1999-05-11,1999-05-11
105278,Hisao,Gyimothy,Senior Staff,1996-03-13,1996-03-13
105311,Mohammad,Conry,Staff,1996-10-10,9999-01-01
105313,Richara,McFarlin,Senior Staff,1986-07-07,9999-01-01
105391,Vidya,Peac,Engineer,1998-11-11,9999-01-01
105485,Magy,Danner,Technique Leader,1985-03-21,9999-01-01
105572,Vivian,Haldar,Senior Staff,1997-05-11,1997-05-11
105581,Rasikan,Hanabata,Senior Engineer,1991-01-30,1991-01-30
105587,Kwun,Demri,Senior Engineer,1995-01-31,1995-01-31
105593,Kankanahalli,Liesche,Senior Staff,1994-10-27,1994-10-27
105603,Masoud,Sommer,Senior Staff,1992-01-16,9999-01-01
105674,Lalit,Kropatsch,Senior Engineer,1995-04-29,1995-04-29
105781,Billur,Rousseau,Senior Staff,1996-10-17,1996-10-17
105789,Qingxiang,Fordan,Senior Staff,1992-02-06,1992-02-06
105800,Golgen,Baig,Senior Staff,1997-05-10,1997-05-10
105809,Remko,Frolund,Senior Engineer,1986-07-12,9999-01-01
105839,Ziyad,Rosca,Senior Engineer,1997-09-24,1997-09-24
105889,Constantino,Blokdijk,Senior Staff,1998-06-24,1998-06-24
105910,Guozhong,Zaccaria,Engineer,2000-04-22,2000-04-22
105921,Willard,Gubsky,Senior Staff,1995-01-31,1995-01-31
105926,Shahid,Mansanne,Senior Staff,1994-09-12,1994-09-12
105981,Bedir,Tyugu,Senior Engineer,1993-06-16,1993-06-16
105998,Herb,Sanella,Senior Engineer,2000-12-03,2000-12-03
106007,Trygve,Ligten,Technique Leader,1985-03-13,9999-01-01
106011,Youpyo,Takanami,Senior Staff,1994-02-02,1994-02-02
106040,Atreye,Terekhov,Senior Staff,1993-04-14,1993-04-14
106048,Urs,Schlumberger,Senior Engineer,1991-10-13,1991-10-13
106063,Florian,Baaz,Senior Staff,1993-08-28,1993-08-28
106107,Hidde,Undy,Senior Engineer,1990-11-13,1990-11-13
106161,Rafael,Baba,Senior Engineer,1987-05-23,9999-01-01
106186,Gonzalo,Sewelson,Senior Staff,1995-09-07,1995-09-07
106197,Geraldo,Ciolek,Engineer,1998-12-14,9999-01-01
106206,Behnaam,Schlenzig,Senior Engineer,2001-10-01,1993-10-01
106222,Shim,Uludag,Senior Engineer,1992-04-09,1992-04-09
106319,Jayson,Azulay,Senior Staff,1992-02-15,1992-02-15
106331,Fumiko,Lorch,Senior Engineer,1997-10-17,1997-10-17
106346,Perry,Cronan,Engineer,1998-09-03,9999-01-01
106417,Kwun,Clouatre,Senior Staff,2002-07-06,2002-07-06
106425,Beshir,Rohrbach,Senior Engineer,1996-08-07,1996-08-07
106447,Tadanori,Herber,Senior Staff,1994-05-06,1994-05-06
106482,Alselm,Selenyi,Senior Staff,1995-06-25,1995-06-25
106531,Shuky,Eiron,Senior Engineer,1992-10-14,1992-10-14
106555,Rosalyn,Gaughan,Engineer,1996-07-07,9999-01-01
106560,Tsuneo,Baar,Technique Leader,1988-10-27,9999-01-01
106587,Heekeun,Ranka,Engineer,1997-04-20,9999-01-01
106633,Jinxi,Kugler,Senior Engineer,1993-10-28,1993-10-28
106634,Ingmar,Rettelbach,Senior Staff,1999-08-06,1999-08-06
106703,Gennady,Kuzuoka,Senior Engineer,1994-02-17,1994-02-17
106756,Arup,Suessmith,Staff,1998-10-16,9999-01-01
106797,Aran,Raoux,Senior Engineer,1992-11-25,1992-11-25
106819,Takahira,Coombs,Senior Staff,1997-08-20,1997-08-20
106914,Ayakannu,Zuberek,Senior Staff,1994-01-20,1994-01-20
106946,Oksana,Luiz,Senior Staff,1991-12-07,1991-12-07
106985,Adhemar,Pfau,Senior Engineer,1995-04-18,1995-04-18
106994,Becky,Penttonen,Senior Engineer,1995-07-16,1990-07-16
107101,Moni,Crabtree,Senior Engineer,2002-04-24,2002-04-24
107173,Kellie,Luga,Senior Engineer,1990-10-30,1990-10-30
107276,Maja,Badache,Senior Engineer,2001-11-30,2001-11-30
107341,Felicidad,Garnick,Senior Staff,1995-05-17,1995-05-17
107392,Chinho,Panangaden,Senior Engineer,1993-06-11,1993-06-11
107440,Shimshon,Dulli,Senior Engineer,1986-11-01,9999-01-01
107452,Shridhar,Bharadwaj,Senior Staff,1986-12-24,9999-01-01
107458,Zengping,Taneja,Senior Engineer,1995-06-26,1995-06-26
107504,Shao,Hoppenstand,Senior Engineer,1993-06-22,1993-06-22
107570,Zine,Lueh,Senior Staff,1993-03-21,1993-03-21
107623,Yagil,Kilgour,Senior Engineer,1995-05-26,1995-05-26
107684,Uma,Chandrasekhar,Senior Staff,1992-11-05,9999-01-01
107695,Babette,Cmelik,Senior Engineer,1997-02-11,1997-02-11
107718,Ibibia,Dehkordi,Engineer,1999-10-09,9999-01-01
107732,Nigel,Encarnacion,Senior Engineer,1994-02-08,1994-02-08
107782,Gadiel,Rajala,Senior Staff,1996-08-20,1996-08-20
107809,Mihalis,Facello,Senior Staff,1990-02-03,1990-02-03
107810,Richara,Trogemann,Senior Engineer,1995-04-14,1995-04-14
107901,Munir,Honiden,Senior Staff,1995-11-25,1995-11-25
107982,Tsuneo,Underwood,Senior Staff,1996-11-03,1996-11-03
108048,Zhenhua,Dredge,Staff,1999-03-07,9999-01-01
108078,Horward,Demian,Engineer,1997-05-31,9999-01-01
108096,Arun,Bazzichi,Senior Engineer,1991-05-25,9999-01-01
108114,Leon,Kobara,Senior Engineer,1992-08-27,1992-08-27
108126,Izaskun,Shackell,Senior Engineer,1993-12-18,1993-12-18
108150,Shrikanth,Peternell,Senior Engineer,1996-04-17,1996-04-17
108153,Lene,Puppo,Senior Staff,1987-04-01,9999-01-01
108176,Aksel,Piazza,Senior Engineer,1993-12-02,1993-12-02
108179,Constantijn,Crelier,Senior Engineer,2002-06-05,2002-06-05
108223,Henk,Cangellaris,Technique Leader,1988-10-31,9999-01-01
108251,Adhemar,Muhling,Engineer,1998-05-27,9999-01-01
108433,Henk,Schaad,Senior Engineer,1999-12-23,1999-12-23
108474,Stella,Schaft,Senior Engineer,1995-02-21,1995-02-21
108536,Fumino,Baba,Senior Staff,1992-12-22,1992-12-22
108588,Shahaf,Coney,Senior Engineer,1992-10-28,1992-10-28
108641,Atreye,Schueller,Senior Engineer,1986-02-13,9999-01-01
108676,Alassane,Angot,Senior Staff,1998-09-20,1998-09-20
108700,Sarita,Stanfel,Senior Staff,1985-10-12,9999-01-01
108761,Nahid,Mandell,Technique Leader,1985-03-15,9999-01-01
108770,Ugo,Onuegbe,Senior Engineer,1993-10-15,1993-10-15
108828,Arup,Denti,Senior Engineer,1991-10-17,1991-10-17
108940,Barna,Baumann,Senior Engineer,2001-08-07,2001-08-07
108963,Sanjiv,Barvinok,Senior Engineer,1992-05-23,1992-05-23
108977,Otilia,Rettelbach,Technique Leader,1994-12-29,9999-01-01
108994,Shahar,Bashian,Technique Leader,1985-05-08,9999-01-01
109052,Xianlong,McFarlin,Senior Engineer,1988-07-06,9999-01-01
109097,Maya,Jeong,Senior Staff,2001-02-05,2001-02-05
109167,Uli,Harllee,Senior Staff,2002-07-27,2002-07-27
109267,Ziyad,Bardell,Technique Leader,1988-07-17,9999-01-01
109323,Shuho,Gomatam,Senior Engineer,1993-07-19,1993-07-19
109334,Tsutomu,Alameldin,Senior Staff,1993-02-15,1993-02-15
109506,Divine,Kermarrec,Senior Staff,1995-12-13,1995-12-13
109561,Radhika,Makinen,Senior Engineer,1993-09-17,1993-09-17
109565,Halsur,Kavvadias,Senior Engineer,2000-12-09,2000-12-09
109623,Parviz,Aingworth,Staff,1999-08-18,9999-01-01
109675,Peer,McConalogue,Senior Staff,1993-05-07,1993-05-07
109681,Marsal,Ramaiah,Senior Engineer,2000-01-06,9999-01-01
109687,Khedija,Gecseg,Staff,1999-07-22,9999-01-01
109729,Sorina,DiGiano,Senior Engineer,1993-10-27,1993-10-27
109793,Zhanqiu,Oppitz,Senior Engineer,1991-05-29,1991-05-29
109795,Francoise,Fujisaki,Senior Staff,1993-11-20,1993-11-20
109809,Kazuhide,Cherinka,Senior Engineer,2002-07-04,2002-07-04
109811,Eric,Wendorf,Senior Engineer,1996-05-13,9999-01-01
109885,Mooi,Sessa,Senior Staff,1986-01-05,9999-01-01
109898,Armond,Cardazo,Senior Engineer,1997-09-02,1997-09-02
109951,Nahla,Pell,Senior Engineer,1990-04-15,9999-01-01
109997,Miquel,Borovoy,Senior Engineer,1993-12-28,1993-12-28
111133,Hauke,Zhang,Manager,1991-03-07,1991-03-07
200030,LiMin,Schonegge,Senior Engineer,1985-02-05,9999-01-01
200048,Ronghao,Remmele,Senior Engineer,1992-04-23,9999-01-01
200054,Rildo,Cronan,Senior Engineer,1995-09-17,1995-09-17
200089,Sampalli,Kuhnemann,Senior Staff,1994-02-08,1994-02-08
200185,Fay,Standera,Senior Staff,1988-08-02,9999-01-01
200256,Greger,Hockney,Senior Staff,1988-09-01,9999-01-01
200332,Feipei,Goldhammer,Engineer,1998-06-10,9999-01-01
200334,Basem,Bojadziev,Senior Engineer,1986-06-21,9999-01-01
200348,Abdulla,Back,Senior Engineer,1991-05-13,1991-05-13
200380,Foong,Kriebel,Senior Engineer,2000-10-05,2000-10-05
200382,Mansur,Pauthner,Senior Staff,1993-09-21,1993-09-21
200400,Goo,Negoita,Senior Staff,1999-10-22,1999-10-22
200433,Gilbert,Bolotov,Senior Staff,2000-11-07,2000-11-07
200486,Vidar,Junet,Senior Staff,2000-02-01,2000-02-01
200499,Rafail,Bultermann,Senior Staff,1986-08-23,9999-01-01
200511,Duke,Gilg,Staff,1999-02-20,9999-01-01
200512,Christophe,Engberts,Senior Staff,1997-01-23,1997-01-23
200575,Izaskun,Kuzuoka,Senior Staff,1994-09-05,1994-09-05
200601,Susuma,Lindqvist,Senior Staff,1993-03-18,1993-03-18
200612,Dannz,Veevers,Senior Staff,1990-12-31,1990-12-31
200702,Mary,Eldridge,Senior Engineer,1998-06-29,1998-06-29
200714,JoAnne,Sudbeck,Senior Staff,1990-06-29,1990-06-29
200749,Terresa,Haraldson,Senior Engineer,1998-05-03,9999-01-01
200750,Jeane,Kusakabe,Senior Staff,1994-07-16,1994-07-16
200776,Sigeru,Merlo,Senior Staff,1997-02-16,1997-02-16
200785,Aemilian,Schlenzig,Staff,1997-10-25,9999-01-01
200801,Tomokazu,Chorvat,Senior Staff,1993-06-27,1993-06-27
200880,Francesca,Matheson,Senior Staff,1990-09-16,9999-01-01
200906,Pradeep,Kusakari,Senior Engineer,1993-02-01,9999-01-01
200956,Alassane,Kadhim,Senior Staff,1994-01-29,1994-01-29
200959,Dhritiman,Speek,Senior Engineer,1995-11-27,1995-11-27
200984,Niranjan,Picht,Senior Staff,1991-06-19,1991-06-19
201089,Felicidad,Luon,Senior Engineer,1992-05-01,9999-01-01
201098,Laurentiu,Kushner,Engineer,1995-03-08,9999-01-01
201126,Jaewoo,Kitsuregawa,Senior Engineer,1994-10-20,1994-10-20
201132,Tadahiko,Showalter,Senior Staff,1991-02-24,1991-02-24
201150,Chaosheng,Miculan,Assistant Engineer,1993-11-20,9999-01-01
201190,Zdislav,Melski,Technique Leader,1988-11-17,9999-01-01
201266,Uma,Rissanen,Senior Staff,1993-02-13,1993-02-13
201327,Demos,Pluym,Senior Staff,1995-07-05,1995-07-05
201333,Mircea,Perl,Senior Engineer,1985-02-08,9999-01-01
201342,Ramachenga,Maierhofer,Senior Engineer,1985-12-17,9999-01-01
201348,Renee,Esposito,Senior Engineer,1996-10-16,1996-10-16
201462,Jolita,Erva,Senior Staff,1996-03-02,9999-01-01
201517,Yoshinari,Jayawardene,Senior Staff,1990-12-06,9999-01-01
201524,Felicidad,Flasterstein,Senior Engineer,1995-10-26,1995-10-26
201536,Shalesh,Birke,Senior Engineer,1998-12-27,1998-12-27
201583,Boutros,Woycyznski,Senior Staff,1995-12-30,1995-12-30
201621,Kagan,Plump,Senior Staff,1994-02-09,1994-02-09
201662,Khalid,Cronau,Senior Engineer,2001-03-27,2001-03-27
201701,Yishai,Tasistro,Senior Engineer,1996-07-11,1996-07-11
201777,Wonhee,Perl,Senior Staff,1994-07-06,1994-07-06
201848,Elvis,Ebeling,Senior Staff,1997-12-27,1997-12-27
201878,Mani,Binding,Staff,1994-09-16,9999-01-01
201896,Fusako,Kohling,Senior Engineer,1995-07-09,1995-07-09
201931,Chirstian,Anily,Technique Leader,1987-09-06,9999-01-01
201936,Remmert,Ishibashi,Senior Staff,1992-03-05,1992-03-05
201944,Shooichi,Guting,Senior Engineer,1998-10-07,1998-10-07
201953,Hercules,Waeselynck,Senior Engineer,1985-08-03,9999-01-01
201959,Kazuhito,Yurek,Senior Engineer,1997-11-02,1997-11-02
201983,Janche,Radhakrishnan,Senior Staff,1992-04-28,1992-04-28
201997,Aran,Baez,Senior Staff,1985-04-07,9999-01-01
202006,Gritta,Peac,Engineer,2002-07-19,2002-07-19
202042,Margareta,Strehl,Senior Staff,1998-09-15,1998-09-15
202075,Stafford,Peternell,Staff,1996-08-10,9999-01-01
202119,Adib,Passino,Senior Staff,1994-05-07,1994-05-07
202142,LiMin,Varley,Senior Engineer,1995-09-11,1995-09-11
202144,Atreye,Reutenauer,Senior Engineer,1988-08-02,9999-01-01
202145,Lubomir,Ghandeharizadeh,Senior Engineer,1999-12-16,1992-12-15
202173,Ekawit,Veeraraghavan,Senior Staff,1995-02-28,1995-02-28
202232,Mack,Lalonde,Senior Engineer,1992-02-12,1992-02-12
202276,Arif,Morrin,Senior Engineer,1987-05-09,9999-01-01
202281,Serif,Ramras,Engineer,1996-06-12,1996-06-12
202309,Sariel,Masand,Senior Staff,1995-06-24,1995-06-24
202339,Zine,Schaaf,Senior Staff,1991-10-07,1991-10-07
202364,Alassane,Riefers,Senior Engineer,1994-03-08,1994-03-08
202417,Mohan,DuBourdieux,Senior Engineer,1995-09-18,1995-09-18
202418,Xumin,Vuskovic,Senior Staff,2002-05-09,2002-05-09
202427,TRUE,Ghandeharizadeh,Technique Leader,1987-08-15,9999-01-01
202435,Bokyung,Schonegge,Senior Engineer,1995-12-06,1995-12-06
202539,Fuqing,Brookman,Engineer,1999-04-24,9999-01-01
202553,Limsoon,Krichel,Senior Staff,1992-02-08,1992-02-08
202599,Yechezkel,Stavenow,Senior Engineer,1992-07-01,1992-07-01
202610,Berhard,Bage,Senior Engineer,1996-02-27,1996-02-27
202626,Berna,Schreiter,Senior Staff,1994-10-14,1994-10-14
